db_id,db_name,db_file_path,disk_file_path,match_type,confidence,new_path,reason
f5306b23-adaa-45be-927c-fbddec832425,"Invoice - ECE6-2024-04-ADMINISTRATION-2","bills/invoice-ece6-2024-04-administration-2-55434b38.txt","bills/invoice-17f6-2024-01-administration-2.txt",pattern,90,"bills/invoice-17f6-2024-01-administration-2.txt","Matched identifiers: 2024, invoice-ece6, invoice, administration"
bba995f3-2e78-44b5-8f8a-0a03b77df967,"Invoice - ECE6-2024-04-SUPPLIES-2","bills/invoice-ece6-2024-04-supplies-2-f0c8506c.txt","bills/invoice-17f6-2024-01-administration-2.txt",pattern,90,"bills/invoice-17f6-2024-01-administration-2.txt","Matched identifiers: 2024, invoice-ece6, invoice"
2e778466-704f-44c1-b78b-94ae22df12fb,"Receipt - ECE6-2024-05-SECURITY-1","bills/receipt-ece6-2024-05-security-1-79490499.txt","bills/invoice-17f6-2024-03-security-2.txt",pattern,90,"bills/invoice-17f6-2024-03-security-2.txt","Matched identifiers: 2024, security"
f6da6193-3ae6-4e50-afc2-abd7e92f80ab,"Receipt - ECE6-2024-05-PROFESSIONAL_SERVICES","bills/receipt-ece6-2024-05-professional_services-f382d24b.txt","bills/invoice-17f6-2024-01-professional_services-2.txt",pattern,90,"bills/invoice-17f6-2024-01-professional_services-2.txt","Matched identifiers: 2024, professional_services"
6a4ab8ba-a7bf-4927-941c-40d37d65a9dd,"Invoice - ECE6-2024-05-SUPPLIES","bills/invoice-ece6-2024-05-supplies-b216d2fc.txt","bills/invoice-17f6-2024-01-administration-2.txt",pattern,90,"bills/invoice-17f6-2024-01-administration-2.txt","Matched identifiers: 2024, invoice-ece6, invoice"
452fe68a-c27d-48b9-bb0c-6ebfd34d6bfc,"Receipt - ECE6-2024-06-UTILITIES","bills/receipt-ece6-2024-06-utilities-3508b798.txt","bills/invoice-17f6-2024-01-utilities-2.txt",pattern,90,"bills/invoice-17f6-2024-01-utilities-2.txt","Matched identifiers: 2024, utilities"
a17647b6-ba2f-4416-83c9-02323241bad7,"Receipt - ECE6-2024-06-PROFESSIONAL_SERVICES-2","bills/receipt-ece6-2024-06-professional_services-2-9f0a06fb.txt","bills/invoice-17f6-2024-01-professional_services-2.txt",pattern,90,"bills/invoice-17f6-2024-01-professional_services-2.txt","Matched identifiers: 2024, professional_services"
20aad10e-0217-445b-afdb-b1b9556401b0,"Receipt - ECE6-2024-06-ADMINISTRATION-2","bills/receipt-ece6-2024-06-administration-2-f1372d19.txt","bills/invoice-17f6-2024-01-administration-2.txt",pattern,90,"bills/invoice-17f6-2024-01-administration-2.txt","Matched identifiers: 2024, administration"
1a7cb741-1719-4926-b31c-10a8ae9550d1,"Receipt - ECE6-2024-07-UTILITIES-2","bills/receipt-ece6-2024-07-utilities-2-4f6de189.txt","bills/invoice-17f6-2024-01-utilities-2.txt",pattern,90,"bills/invoice-17f6-2024-01-utilities-2.txt","Matched identifiers: 2024, utilities"
20d453d8-7c05-46cf-bf32-7c22520289ca,"Receipt - ECE6-2024-07-SECURITY-1","bills/receipt-ece6-2024-07-security-1-afed2f32.txt","bills/invoice-17f6-2024-03-security-2.txt",pattern,90,"bills/invoice-17f6-2024-03-security-2.txt","Matched identifiers: 2024, security"
